rsi,symbol,win_ratio,priority,Symbol,token
47,RTNINDIA,39.47%,0,RTNINDIA,27300
54,CONCOR,43.28%,0,CONCOR,4749
62,ALLCARGO,45.45%,0,ALLCARGO,13505
44,ECLERX,48.33%,0,ECLERX,15182
49,AEGISLOG,50.70%,0,AEGISLOG,12187
54,J&KBANK,50.00%,0,J&KBANK,5633
47,GSFC,48.68%,0,GSFC,1247
46,CAMS,57.69%,0,CAMS,342
59,GRANULES,45.59%,0,GRANULES,11872
49,EQUITASBNK,56.92%,0,EQUITASBNK,913
58,BORORENEW,40.35%,0,BORORENEW,3154
61,SRF,44.26%,0,SRF,3273
39,DOMS,50.00%,0,DOMS,20551
47,ABCAPITAL,40.26%,0,ABCAPITAL,21617
38,CANFINHOME,61.29%,0,CANFINHOME,583
66,APLLTD,53.57%,0,APLLTD,25328
34,TIMKEN,65.22%,0,TIMKEN,14198
49,BALKRISIND,48.44%,0,BALKRISIND,335
48,HDFCLIFE,50.00%,0,HDFCLIFE,467
55,RATNAMANI,52.00%,0,RATNAMANI,13451
55,AARTIIND,54.72%,0,AARTIIND,12180
42,SAIL,53.45%,0,SAIL,2963
45,DABUR,51.32%,0,DABUR,772
43,TRIVENI,51.67%,0,TRIVENI,13085
57,RELIANCE,51.61%,0,RELIANCE,2885
41,MAXHEALTH,69.44%,0,MAXHEALTH,22378
40,KSB,50.00%,0,KSB,1949
56,ALKYLAMINE,53.45%,0,ALKYLAMINE,4487
39,IEX,72.97%,0,IEX,220
45,ASTRAL,45.90%,0,ASTRAL,14418
49,GMDCLTD,55.71%,0,GMDCLTD,5204
57,EIDPARRY,45.95%,0,EIDPARRY,12342
66,CARBORUNIV,56.52%,0,CARBORUNIV,595
50,KOTAKBANK,44.58%,0,KOTAKBANK,1922
56,PEL,45.71%,0,PEL,2412
54,IOB,35.14%,0,IOB,9348
58,ADANIGREEN,39.71%,0,ADANIGREEN,3568
48,BALRAMCHIN,44.44%,0,BALRAMCHIN,341
62,CAPLIPOINT,46.43%,0,CAPLIPOINT,3906
47,JKPAPER,45.45%,0,JKPAPER,11860
52,WHIRLPOOL,49.12%,0,WHIRLPOOL,18011
50,METROPOLIS,57.38%,0,METROPOLIS,9587
54,PRESTIGE,37.80%,0,PRESTIGE,20302
47,HOMEFIRST,53.16%,0,HOMEFIRST,2056
50,SAFARI,52.86%,0,SAFARI,13037
49,DRREDDY,56.58%,0,DRREDDY,881
34,GUJGASLTD,66.67%,0,GUJGASLTD,10602
54,GICRE,37.35%,0,GICRE,277
53,MMTC,52.46%,0,MMTC,17957
63,IDFCFIRSTB,61.36%,0,IDFCFIRSTB,11184
73,WESTLIFE,76.92%,0,WESTLIFE,11580
47,YESBANK,45.59%,0,YESBANK,11915
57,MASTEK,51.52%,0,MASTEK,2124
55,FINEORG,40.28%,0,FINEORG,3753
46,GNFC,38.67%,0,GNFC,1174
42,JUSTDIAL,50.94%,0,JUSTDIAL,29962
36,CUB,57.78%,0,CUB,5701
51,JMFINANCIL,47.30%,0,JMFINANCIL,13637
55,SOBHA,53.62%,0,SOBHA,13826
55,PGHH,39.74%,0,PGHH,2535
52,RENUKA,52.78%,0,RENUKA,12026
35,CELLO,60.00%,0,CELLO,19798
50,IIFL,45.00%,0,IIFL,11809
56,HAPPYFORGE,52.63%,0,HAPPYFORGE,20868
52,MANKIND,63.64%,0,MANKIND,15386
47,ICICIPRULI,41.79%,0,ICICIPRULI,18655
