Symbol,NAME OF COMPANY,token
UNOMINDA,UNO Minda Limited,14157.0
UPL,UPL Limited,11287.0
UTIAMC,UTI Asset Management Company Limited,554.0
UJJIVANSFB,Ujjivan Small Finance Bank Limited,15228.0
ULTRACEMCO,UltraTech Cement Limited,11532.0
UNIONBANK,Union Bank of India,10753.0
UBL,United Breweries Limited,16713.0
UNITDSPR,United Spirits Limited,10447.0
USHAMART,Usha Martin Limited,8840.0
VGUARD,V-Guard Industries Limited,15362.0
VIPIND,VIP Industries Limited,3703.0
VAIBHAVGBL,Vaibhav Global Limited,11364.0
VTL,Vardhman Textiles Limited,2073.0
VARROC,Varroc Engineering Limited,3857.0
VBL,Varun Beverages Limited,18924.0
MANYAVAR,Vedant Fashions Limited,8178.0
VEDL,Vedanta Limited,3063.0
VIJAYA,Vijaya Diagnostic Centre Limited,5585.0
IDEA,Vodafone Idea Limited,14366.0
VOLTAS,Voltas Limited,3718.0
WELCORP,Welspun Corp Limited,12890.0
WELSPUNLIV,Welspun Living Limited,11253.0
WESTLIFE,WESTLIFE FOODWORLD LIMITED,11580.0
WHIRLPOOL,Whirlpool of India Limited,18011.0
WIPRO,Wipro Limited,3787.0
YESBANK,Yes Bank Limited,11915.0
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,16918.0
ZEEL,Zee Entertainment Enterprises Limited,3812.0
ZENSARTECH,Zensar Technologies Limited,1076.0
ZOMATO,Zomato Limited,5102.0
ZYDUSLIFE,Zydus Lifesciences Limited,7929.0
ECLERX,eClerx Services Limited,15182.0
