invested_amount,quantity,entry_price,exit_price,index,entry_time,exit_time,pnl,percentage_move,rsi
99961.42,962,103.91,102.8709,3755,2025-03-13 09:55:00+05:30,2025-03-13 10:50:00+05:30,-999.6141999999909,1,49
99984.0,960,104.15,103.1085,3755,2025-03-13 10:10:00+05:30,2025-03-13 10:50:00+05:30,-999.8399999999992,1,49
99990.0,990,101.0,100.83,3811,2025-03-13 15:25:00+05:30,2025-03-17 09:15:00+05:30,-168.3000000000017,1,49
99965.84000000001,988,101.18,100.16820000000001,3849,2025-03-17 09:55:00+05:30,2025-03-17 12:25:00+05:30,-999.6583999999939,1,49
99910.8,990,100.92,99.9108,3850,2025-03-17 09:25:00+05:30,2025-03-17 12:30:00+05:30,-999.1080000000069,1,49
99948.34,989,101.06,100.0494,3850,2025-03-17 10:25:00+05:30,2025-03-17 12:30:00+05:30,-999.4833999999967,1,49
99991.90000000001,991,100.9,99.891,3850,2025-03-17 10:55:00+05:30,2025-03-17 12:30:00+05:30,-999.9190000000003,1,49
99944.0,992,100.75,99.7425,3852,2025-03-17 12:00:00+05:30,2025-03-17 12:40:00+05:30,-999.4399999999932,1,49
99980.0,1000,99.98,98.98020000000001,3884,2025-03-17 13:40:00+05:30,2025-03-17 15:20:00+05:30,-999.7999999999934,1,49
99919.98,999,100.02,99.01979999999999,3884,2025-03-17 13:55:00+05:30,2025-03-17 15:20:00+05:30,-999.1998000000067,1,49
99950.0,1000,99.95,98.9505,3884,2025-03-17 14:30:00+05:30,2025-03-17 15:20:00+05:30,-999.4999999999976,1,49
99930.0,1000,99.93,98.93070000000002,3884,2025-03-17 14:40:00+05:30,2025-03-17 15:20:00+05:30,-999.299999999991,1,49
99969.87000000001,1001,99.87,98.8713,3884,2025-03-17 15:05:00+05:30,2025-03-17 15:20:00+05:30,-999.6986999999995,1,49
99919.34,997,100.22,101.22219999999999,3914,2025-03-18 09:15:00+05:30,2025-03-18 11:35:00+05:30,999.1933999999878,1,49
99922.26,978,102.17,103.1917,3955,2025-03-18 14:55:00+05:30,2025-03-18 15:00:00+05:30,999.2225999999957,1,49
99910.0,970,103.0,101.97,4013,2025-03-19 10:10:00+05:30,2025-03-19 13:35:00+05:30,-999.100000000001,1,49
99926.64,968,103.23,102.1977,4013,2025-03-19 10:40:00+05:30,2025-03-19 13:35:00+05:30,-999.2664000000062,1,49
99913.59,969,103.11,102.07889999999999,4013,2025-03-19 11:00:00+05:30,2025-03-19 13:35:00+05:30,-999.135900000009,1,49
